M,n_tasks,algorithm,run,cvr_mean,robust_util_total_mean,util_total_mean,time_mean_ms,time_std_ms,time_p99_ms,time_max_ms,timeout_rate
10,100,RG,9,0.1137783333333333,0.9712221654026472,0.4762648054630822,2.447229996789247,0.0768662853429066,0.739583040121943,0.777499983087182,0.0
10,100,Std-LNS,9,0.15035075,0.982164219991226,0.478136758111393,4.622860551811768,4.4275951068994015,119.1457760706544,119.85619994811714,1.0
10,100,DG,10,0.2166636666666666,1.029852419723413,0.4961759916122682,2.1659009768627584,0.0328023632377514,0.252641944680363,0.2667000517249107,0.0
10,100,EPD-FF,10,0.1402593333333333,1.0038207233380374,0.498152095585283,2.4689170024357736,0.1023427284715438,0.7846781495027246,0.8320000488311052,0.0
10,100,RA-LNS,10,0.08557825,1.0328696899306324,0.5011925291014436,4.602570990100503,2.9925418462562465,112.78549496550112,113.33939991891384,1.0
10,100,RG,10,0.1692383333333333,1.0151104235353885,0.4978804808821915,2.454162007663399,0.1075029808839029,0.9344080090522768,0.9846999309957029,0.0
10,100,Std-LNS,10,0.17857825,1.0328696899306324,0.5011925291014436,4.372442440595478,2.9925418462562465,112.78549496550112,113.33939991891384,1.0
10,100,DG,11,0.2138936666666667,1.0266138218845495,0.4925729821439567,2.163156990893185,0.0325889460919077,0.2604478830471639,0.3444000612944364,0.0
10,100,EPD-FF,11,0.1469893333333332,1.0030675450705877,0.4937566907996631,2.4740280052646995,0.1164726482920258,0.8694758685305715,0.8769999258220196,0.0
10,100,RA-LNS,11,0.08853575,1.0293811965745718,0.5003226346969217,5.312507993075997,5.2407944601787,130.37369692232463,133.65030009299517,1.0
10,100,RG,11,0.1622183333333332,1.0093652132525326,0.4956813079857501,2.441741014365107,0.0695314493031009,0.6967470631934705,0.7410000544041395,0.0
10,100,Std-LNS,11,0.18153575,1.0293811965745718,0.5003226346969217,5.046882593422197,5.2407944601787,130.37369692232463,133.65030009299517,1.0
10,100,DG,12,0.1274036666666667,0.9630360935045352,0.4652243608485438,2.165683012455702,0.0327818667883201,0.2647599205374718,0.2806000411510467,0.0
10,100,EPD-FF,12,0.0767693333333333,0.94196512492767,0.4663594354171242,2.433774997945875,0.0887246211549155,0.6919850269332529,0.7201998960226774,0.0
