algorithm,run,cvr_mean,cvr_std,per_server_vr_mean,U_max_mean,O1_mean,excess_mean,time_mean_ms,time_p99_ms,feasible_rate,exp_makespan_mean,util_new_mean,util_total_mean,robust_util_total_mean,time_std_ms,time_p50_ms,time_max_ms,timeout_rate
Std-LNS,4,0.23876999999999998,0.1035406060441989,0.027313,1.266379778110022,2620.3184676200517,65.09984566257212,27.998984006699175,35.89375697774814,0.0,1062.1911818479698,0.49573134551879017,0.4981749698403245,1.0383114859331903,1.9142921181637753,27.432150032836944,38.80999993998557,0.0
RA-LNS,4,0.13262,0.08893826847876003,0.01463,1.0467847059983957,2359.171867663389,26.542392340990546,106.22436899808235,121.80290198419245,0.31,1539.9596471161492,0.4991019335986847,0.5008059219754902,1.0181851839187765,5.326707332322667,104.84059998998418,123.34749998990446,1.0
DG,5,0.14061,0.07073187329627288,0.015131,1.1785202123062342,2684.3883353053925,34.47494376119511,0.17083699232898653,0.1806109759490938,0.02,1199.353847824304,0.46952006932299006,0.4722315070846373,0.9793146225273052,0.004273277088657125,0.17034995835274458,0.2014999045059085,0.0
RG,5,0.07997000000000001,0.050114559760612486,0.008371,1.0640860471461968,2544.638195944441,15.85924327142351,0.41716000414453447,0.44894104008562874,0.13,1524.3354255218326,0.47240063848491715,0.47277883495092055,0.9638277926214991,0.009244268092250065,0.4154000198468566,0.4727999912574887,0.0
EPD-FF,5,0.07919,0.045302029755850896,0.008282999999999999,1.0697511627589043,2492.7870531428853,15.108408334339222,0.44722399790771306,0.6098160904366531,0.52,1813.7488035702263,0.47039738232935085,0.4709961663815719,0.9570561036113904,0.05180822627547363,0.43424993054941297,0.7698000408709049,0.0
Std-LNS,5,0.14824,0.06399189323656551,0.015943,1.1955009906845329,2664.8190292117415,36.6561027988899,27.59109900216572,29.01478296611458,0.01,1075.83360878822,0.47075427614428295,0.4719476990020256,0.9802179428819118,0.3327056662444289,27.53474999917671,29.161600046791136,0.0
RA-LNS,5,0.06946000000000001,0.04713966906969119,0.0073160000000000005,0.9858731950677999,2370.745110926835,12.456421336390965,107.90364898741245,125.11656789807608,0.79,1601.7666725415486,0.47394969234136863,0.4743513492937307,0.9644906050142328,6.456878560102559,106.60885000834242,134.96389996726066,1.0
DG,6,0.05407,0.034065306398152355,0.005574,1.065804345599701,2686.8445223553654,12.152945364543596,0.17677100840955973,0.21878802333958527,0.19,1197.112232107754,0.4216013812172815,0.4216821475095883,0.8843591615154643,0.020662072311237047,0.17424998804926872,0.37599995266646147,0.0
RG,6,0.02312,0.01737255306510819,0.002351,0.9593730944851419,2581.7239441328693,4.5781205734394605,0.4223809950053692,0.43513405136764055,0.73,1498.8484516988124,0.4251103904887639,0.4254753600307373,0.8714224745207,0.0055353214921198095,0.42135000694543123,0.4483999218791723,0.0
EPD-FF,6,0.04947,0.0088243470013367,0.005058,0.9970019063390838,2707.0327822931263,7.493905318931946,0.38912100018933415,0.45994200860150164,0.95,2147.8026793193835,0.41210726761035915,0.4126105422531123,0.8424313780809392,0.025294284523480405,0.3887999337166548,0.47400000039488077,0.0
